nconst	primaryName	birthYear	deathYear
nm0055689	Mac Barnes	1863	1923
nm0055865	Chester Barnett	1884	1947
nm0056339	Benjamin Barondess	""	""
nm0056485	Clarence Barr	1876	1968
nm0056525	John Barr	""	""
nm0056799	Raoul Barre	1874	1932
nm0057041	Pedro Barreto	1877	1943
nm0057136	Franklyn Barrett	1874	1964
nm0057316	Wilson Barrett	1846	1904
nm0057381	J.M. Barrie	1860	1937
nm0057482	Herbert Barrington	1872	1933
nm0057491	Mervyn Barrington	""	""
nm0057585	Bessie Barriscale	1884	1965
nm0057986	Eddie Barry	1887	1966
nm0057988	Eleanor Barry	1860	1946
nm0058016	Herbert Barry	""	""
nm0058020	J. Barry	""	""
nm0058030	Jean Barry	""	""
nm0058184	Viola Barry	1894	1964
nm0058328	A.H. Barstar	""	""
nm0058502	H.H. Barter	1881	1967
nm0058686	Lee Bartholomew	1877	1950
nm0058690	Miss Bartholomew	""	""
nm0058792	Charles Bartlett	1888	""
nm0058849	Lanier Bartlett	1879	1961
nm0059150	Grace Barton	1883	1962
nm0059577	Aurora Baró	""	""
nm0059578	Emilia Baró	1882	1964
nm0060168	Albert Bassermann	1867	1952
nm0060238	Russell Bassett	1845	1918
nm0060654	Henry Bataille	1872	1922
nm0060659	Lucien Bataille	1877	""
nm0060824	Victory Bateman	1865	1926
nm0061044	Tom Bates	1864	1930
nm0061392	Gyula Batthyány	1888	1959
nm0061640	Anne Bauchens	1882	1967
nm0061746	Arthur Bauer	1878	""
nm0061955	Yevgeny Bauer	1865	1917
nm0062934	F.P. Bayer	""	""
nm0063086	Blanche Bayliss	1878	1951
nm0063138	Beverly Bayne	1893	1982
nm0063379	Ugo Bazzini	""	""
nm0063412	Ramón de Baños	1890	1980
nm0063413	Ricardo de Baños	1884	1939
nm0063492	Rex Beach	1877	1949
nm0063612	Frank Beal	1862	1934
nm0063634	Scott R. Beal	1890	1973
nm0063748	Frank Beamish	1881	1921
nm0064381	Louise Beaudet	1859	1947
nm0064415	William Beaudine	1892	1970
nm0064600	Harry Beaumont	1888	1966
nm0064819	George Beban	1873	1928
nm0064944	Eugène Bech	""	""
nm0064949	Lili Beck	1885	1939
nm0064953	Philip Bech	1869	1928
nm0065035	Mrs. William Bechtel	1861	1938
nm0065038	William Bechtel	1867	1930
nm0065133	Frederick Beck	""	""
nm0065393	Denise Becker	""	""
nm0065651	Karl Beckersachs	1886	1951
nm0065773	Beatrice Beckley	1884	1969
nm0066332	Robert Livingston Beecher	""	""
nm0066406	Mary Beekman	1884	1957
nm0066488	Ethelin Eliot Beer	""	""
nm0066734	Lee Beggs	1870	1943
nm0066735	Malcolm Lee Beggs	1907	1956
nm0066941	Ernst Behmer	1875	1938
nm0067584	David Belasco	1853	1931
nm0067590	Ruby Belasco	1867	1936
nm0068152	Digby Bell	1849	1917
nm0068179	Edward Bell	""	""
nm0068186	Emma Bell Clifton	1874	1922
nm0068213	Gaston Bell	1877	1963
nm0068696	George Bellamy	1866	1944
nm0068927	Dorothy Bellew	1891	1973
nm0069237	Walter C. Bellows	""	""
nm0069295	Henry Belmar	1849	1931
nm0069325	Eleanor Robson Belmont	1879	1979
nm0069327	Joseph Belmont	1874	1939
nm0069354	Juan Belmonte	1892	1962
nm0069373	Lionel Belmore	1867	1953
nm0069435	Adolphe Belot	1829	1890
nm0069640	Elisa Beltrán	""	""
nm0070251	Jacinto Benavente	1866	1954
nm0070503	Pete Bender	""	""
nm0070762	Claude Benedict	""	""
nm0070791	Kingsley Benedict	1878	1951
nm0070959	Carlo Benetti	1885	1949
nm0071086	Gustaf Bengtsson	1878	1951
nm0071127	Dorothy Benham	1910	1956
nm0071132	Harry Benham	1884	1969
nm0071135	Leland Benham	1905	1976
nm0071518	Yale Benner	1875	1952
nm0071616	Billie Bennett	1874	1951
nm0071658	Charles Bennett	1893	1943
nm0071684	Constance Bennett	""	""
nm0071745	Emerson Bennett	""	""
nm0071758	Frank Bennett	1890	1957
nm0071852	Juanita Bennett	""	""
nm0071992	Richard Bennett	1870	1944
nm0072191	Alex Benno	1873	1952
nm0072301	Georges Benoît	1883	1942
nm0072463	Constance Benson	1864	1946
nm0072493	Frank R. Benson	1858	1939
nm0072582	May Bensen	1854	1916
nm0072679	William Shepherd Benson	1855	1932
nm0072872	Thomas Bentley	1884	1966
nm0073238	Clara Beranger	1886	1956
nm0073239	George Beranger	1893	1973
nm0073763	Geraldine Berg	""	""
nm0073906	Stina Berg	1869	1930
nm0074063	Thurlow Bergen	1875	1954
nm0074077	Emil Bergendorff	1864	1921
nm0074139	Charly Berger	1881	1945
nm0074186	Grete Berger	1883	1944
nm0074325	Rae Berger	1877	1931
nm0074991	Rudolph J. Bergquist	1885	1928
nm0074998	Idoff Bergqvist	""	""
nm0075153	Sven Bergvall	1881	1960
nm0075160	Ouida Bergère	1886	1974
nm0075410	Lili Berky	1886	1958
nm0076202	Dorothy Bernard	1890	1955
nm0076236	Harry Bernard	1878	1940
nm0076308	Léon Bernard	1877	1935
nm0076642	Edvin Berndtson	""	""
nm0076673	Bernice Berner	""	""
nm0076786	Fritz Bernhardt	""	""
nm0076800	Sarah Bernhardt	1844	1923
nm0076840	Suzanne Berni	""	""
nm0076933	Bleuette Bernon	1878	1937
nm0076943	Jane Bernoudy	1893	1972
nm0077056	Henri Bernstein	1876	1953
nm0077222	Elena Bernís	""	""
nm0077278	Georges Berr	1867	1942
nm0077320	George Berrell	1849	1933
nm0077488	Audrey Berry	1906	1996
nm0077568	James Berry	1880	1915
nm0077702	Berryer	""	""
nm0077861	Maurice Bertel	1871	1930
nm0077946	Ingeborg Bruhn Bertelsen	1894	1977
nm0078116	Francesca Bertini	1892	1985
nm0078205	Francesco Bertolini	""	""
nm0078318	Helen Bertram	1865	1953
nm0078338	Vedah Bertram	1891	1912
nm0078340	William Bertram	1880	1933
nm0078442	Marguerite Bertsch	1889	1967
nm0078562	Ilona Hegedüsné Berzétey	1874	1962
nm0078695	J. Campbell Besley	""	""
nm0078806	Eugenie Besserer	1868	1934
nm0079490	Matthew Betz	1881	1938
nm0079813	William Bewer	1867	1965
nm0079966	Clara Beyers	""	1935
nm0080896	Arsenii Bibikov	1873	1927
nm0081288	Rudolf Biebrach	1866	1938
nm0081361	Edward Peil Sr.	1883	1958
nm0081510	Paul Biensfeldt	1869	1933
nm0081697	Chief John Big Tree	1877	1967
nm0081736	Arthur Bigelow	""	""
nm0082178	Paul Bildt	1885	1957
nm0082349	Svend Bille	1890	1973
nm0082461	Billie Billings	""	""
nm0082537	Francelia Billington	1895	1934
nm0082914	Maurits Binger	1868	1923
nm0083063	Josh Binney	1889	1956
nm0083196	Santiago Biosca	""	""
nm0083248	Carolyn Birch	""	""
nm0083249	Cecil Birch	""	""
nm0083596	Viva Birkett	1887	1934
nm0084352	Alexandre Bisson	1848	1912
nm0084690	Jacques Bizeul	1882	1925
nm0084804	Olaf K. Bjerke	1863	1931
nm0084830	Rasmus Bjerregaard	1882	1917
nm0084902	Lars Björck	1884	1926
nm0084962	Agda Helin	1894	1984
nm0085007	Renée Björling	1898	1975
nm0085021	Hugo Björne	1886	1966
nm0085066	Aage Bjørnbak	1875	1913
nm0085133	Herbert Blaché	1882	1953
nm0085156	Alexander Black	1859	1940
nm0085618	Mary Blackburn	""	""
nm0085652	Vivian Blackburn	1876	1952
nm0085684	Nessie Blackford	1872	1964
nm0085852	Lisbeth Blackstone	""	""
nm0085865	J. Stuart Blackton	1875	1941
nm0085870	Paula Blackton	1881	1930
nm0085877	Carlyle Blackwell	1884	1955
nm0085919	Jim Blackwell	1876	1932
nm0086003	Augusta Blad	1871	1953
nm0086082	Lujza Blaha	1850	1926
nm0086423	Evangeline Blaisdell	""	""
nm0086461	Alva D. Blake	1887	1966
nm0086632	Loretta Blake	1898	1981
nm0086666	Mrs. A.D. Blake	""	""
nm0086816	Harry Blakemore	1859	1936
nm0086908	Señora Blana	""	""
nm0086982	Luis Blanca	""	""
nm0087051	Eleanor Blanchard	1886	""
nm0087119	August Blanche	1811	1868
nm0087250	Enrique Blanco	""	""
nm0087381	R. Henderson Bland	1876	1941
nm0087404	Clara Blandick	1876	1962
nm0087445	Charles E. Blaney	1866	1944
nm0087451	May Blaney	1875	1953
nm0087658	Vicente Blasco Ibáñez	1867	1928
nm0087797	Harriot Stanton Blatch	1858	1940
nm0088267	Christine Blessing	""	""
nm0088285	Billy Bletcher	1894	1979
nm0088317	Eleanor Blevins	1894	1973
nm0088476	Holbrook Blinn	1872	1928
nm0088618	Harriet Bloch	1881	1975
nm0088767	Sheridan Block	1853	1921
nm0088881	August Blom	1869	1947
nm0088899	John Blom	1885	1953
nm0089162	Frederick Vroom	1857	1942
nm0089342	Henry Martyn Blossom	1866	1919
nm0089939	Alf Blütecher	1880	1959
nm0090007	John G. Blystone	1892	1938
nm0090104	Rudolf Blümner	1873	1945
nm0090204	True Boardman	1880	1918
nm0090205	True Boardman	1909	2003
nm0090207	Virginia True Boardman	1889	1971
nm0090575	Frida Boch	""	""
nm0090649	Frederick Bock	1846	1916
nm0091058	Béla Bodonyi	1884	1971
nm0091386	Axel Boesen	1879	1957
nm0091426	Hermann Boettger	1878	1946
nm0091767	Francis Boggs	1870	1911
nm0092083	Gunnar Bohman	1882	1963
nm0092290	Curt Bois	1901	1991
nm0092294	Ilse Bois	1896	1961
nm0092435	Arrigo Boito	1842	1918
nm0092665	Eddie Boland	1885	1935
nm0092780	Robert Bolder	1859	1937
nm0092809	Rolf Boldrewood	1826	1915
nm0093113	Florence Bolles	1888	1962
nm0093361	Heinrich Bolten-Baeckers	1871	1938
nm0093419	Lucile Bolton	""	""
nm0093420	Lucille Bolton	""	""
nm0093646	Alessandro Bona	""	""
nm0094017	R.L. Bond	""	""
nm0094022	Raymond Bond	1885	1972
nm0094272	William Bonelli	""	""
nm0094343	Emiliano Bonetti	1874	1937
nm0094563	Bessie Boniel	""	""
nm0094766	Ferdinand Bonn	1861	1933
nm0094801	Mario Bonnard	1889	1965
nm0094975	Max Bonnet	""	""
nm0095383	Harry Booker	1850	1924
nm0095695	Elmer Booth	1882	1915
nm0095714	Herbert Booth	1862	1926
nm0095809	Sydney Booth	1873	1937
nm0095816	Walter R. Booth	1869	1938
nm0096094	Joe Bordeaux	1886	1950
nm0096330	Lyda Borelli	1884	1959
nm0096705	Luigi Romano Borgnetto	1881	1957
nm0096737	Hilda Borgström	1871	1953
nm0096758	Rita Bori	""	""
nm0096786	Edwin Boring	1868	1923
nm0097421	Jaime Borrás	""	""
nm0097648	Frank Borzage	1894	1962
nm0097670	Annie Bos	1886	1975
nm0097743	Alberto Bosch	""	""
nm0097769	José María Bosch	""	""
nm0097918	Romeo Bosetti	1879	1948
nm0098089	Yale Boss	1899	1977
nm0098307	Edith Bostwick	1882	1943
nm0098308	Elwood Fleet Bostwick	1878	1953
nm0098310	Herbert Bostwick	""	""
nm0098314	Phyllis Bostwick	""	""
nm0098376	Hobart Bosworth	1867	1943
nm0098427	Alberto Botelho	1885	1973
nm0098834	Aaf Bouber	1885	1974
nm0099105	Dion Boucicault	1822	1890
nm0099116	Louis-Jacques Boucot	1882	1949
nm0099479	Edward Boulden	1879	1937
nm0099733	Ernest Bourbon	1886	1954
nm0099754	Arthur Bourchier	1863	1927
nm0099901	Gérard Bourgeois	1874	1944
nm0100006	Fannie Bourke	1886	1959
nm0100270	René Poyen	1908	1968
nm0100479	Louis Bouwmeester	1842	1925
nm0100622	Oscar Bovill	1891	1975
nm0100664	Berthe Bovy	1887	1977
nm0101031	Billy Bowers	""	""
nm0101071	John Bowers	1885	1936
nm0101135	Lawrence A. Bowes	1885	1955
nm0101182	Virginia Bowker	""	""
nm0101373	Palmer Bowman	1885	1933
nm0101413	William Bowman	1884	1960
nm0101852	Marie Boyd	""	""
nm0101923	Storm Boyd	1885	1919
nm0101954	William 'Stage' Boyd	1889	1935
nm0102249	Irene Boyle	1890	1976
nm0102510	Bozo	""	""
nm0102643	Charles Brabin	1882	1957
nm0102718	Sidney Bracey	1877	1942
nm0102783	Bertram Bracken	1880	1952
nm0102799	Mildred Bracken	1896	1964
nm0102858	Clara T. Bracy	1848	1941
nm0102881	James Bradbury Sr.	1857	1940
nm0102935	Mary Elizabeth Braddon	1835	1915
nm0103130	Alma Bradley	""	""
nm0103567	Alice Brady	1892	1939
nm0103597	Cyrus Townsend Brady	1861	1920
nm0103619	Ed Brady	1889	1942
nm0103645	Jasper Ewing Brady	1866	1940
nm0103755	William A. Brady	1863	1950
nm0103931	James Bragington	""	""
nm0104197	A.V. Bramble	1884	1963
nm0104251	Jack Brammall	1879	""
nm0104506	Neil Brand	""	""
nm0104764	F. Marion Brandon	""	""
nm0104856	Aage Brandt	1889	1970
nm0104892	Charles Brandt	1862	1924
nm0105201	Lily Branscombe	1876	1970
nm0105331	Albert Bras	1865	1942
nm0105501	Eduardo Brazão	1851	1925
nm0105767	Gertrude Braun	""	""
nm0105980	Otto Brautigan	1877	""
nm0106151	Jack Brawn	1869	1943
nm0106218	John Randolph Bray	1879	1978
nm0106234	Margaret Bray	""	""
nm0106426	Ben Breakstone	""	""
nm0106514	Nikolai Brechling	1883	1935
nm0106785	Edmund Breese	1871	1936
nm0106898	Axel Breidahl	1876	1948
nm0106902	Alfred Breiderhoff	1881	1916
nm0106922	Joseph Carl Breil	1870	1926
nm0106990	Otto Breitkreutz	1866	1928
nm0107279	Edward Brennan	""	""
nm0107494	Marjorie Brenner	1893	1979
nm0107543	Herbert Brenon	1880	1958
nm0107574	Evelyn Brent	1899	1975
nm0107631	Edmund Breon	1882	1953
nm0107745	Otto Breslin	""	""
nm0107750	Mervyn A. Breslauer	1884	""
nm0107756	Lou Breslow	1900	1987
nm0107816	Anna Bressman	""	""
nm0107838	Tom Bret	1883	1945
nm0107940	Harold Brett	1883	1950
nm0108049	Beta Breuil	1876	""
nm0108345	Grigore Brezeanu	1892	1919
nm0108503	Betty Brice	1888	1935
nm0108653	Al Bridge	1891	1957
nm0108805	Winona Bridges	""	""
nm0108961	Eugène Brieux	1858	1932
nm0108965	Yvonne Briey	""	""
nm0109030	Gladys Briggs	""	""
nm0109088	Texas George Briggs	""	""
nm0109096	Wellington Briggs	1873	1956
nm0109167	Mildred Bright	1892	1967
nm0109469	Jeanne Brindeau	1860	1946
nm0109800	Lottie Briscoe	1883	1950
nm0109953	Ninita Bristow	1892	1973
nm0110394	George Broadhurst	1866	1952
nm0110752	Billie Brockwell	1875	1949
nm0110755	Gladys Brockwell	1894	1929
nm0110838	Robert Broderick	1864	1921
nm0111105	John van den Broek	1895	1918
nm0111130	H. Lyman Broening	1892	1983
nm0111531	Mrs. Owen Bronson	1874	1953
nm0111576	Charlotte Brontë	1816	1855
nm0111753	Van Dyke Brooke	1859	1921
nm0111762	B.R. Brooker	""	""
